model,mean_accuracy,mean_roc_auc,mean_f1,mean_recall,std_f1
logistic_regression,0.7495579991205688,0.8458387618714991,0.6294374348730013,0.8020066889632107,0.022869576945608545
gradient_boosting,0.8013866014395564,0.8476806107298606,0.5807182326848619,0.5183946488294314,0.019183074206995346
random_forest,0.7882528159924098,0.8251121616232375,0.5411944396901285,0.47090301003344476,0.03046880604881691
